id,ru,en
play,ИГРАТЬ,PLAY
shop,МАГАЗИН,SHOP
locations,ЛОКАЦИИ,LOCATIONS
game_over,ИГРА ОКОНЧЕНА,GAME OVER
record,РЕКОРД,RECORD
revive,ВОЗРОДИТЬ,REVIVE
restart,ЗАНОВО,RESTART
menu,МЕНЮ,MENU
resume,ПРОДОЛЖИТЬ,RESUME
game_complete,ИГРА ПРОЙДЕНА!,GAME COMPLETE!
pause,ПАУЗА...,PAUSE...
select_mode,ВЫБЕРЕТЕ РЕЖИМ,SELECT MODE
normal,КЛАССИКА,NORMAL
survival,ВЫЖИВАНИЕ,SURVIVAL
select,ВЫБРАТЬ,SELECT
info,ИНФОРМАЦИЯ,INFORMATION
collect,Собирай монеты и покупай уникальные скины и локации!,Collect coins and buy unique skins and locations!
avoid,Уклоняйся от бомб!,Avoid bombs!
powerups,Собирай бонусы,Collect powerups
purchase,Купить,Purchase
coins,МОНЕТЫ,COINS
